NTMOD;NTMO;NTMD
102530102540;102530;102540
102530102550;102530;102550
102530102560;102530;102560
102530102610;102530;102610
102530102630;102530;102630
102530102650;102530;102650
102530102670;102530;102670
102530102710;102530;102710
102530102720;102530;102720
102530102740;102530;102740
102530102810;102530;102810
102530102820;102530;102820
102530102830;102530;102830
102530102870;102530;102870
102530103170;102530;103170
102530103240;102530;103240
102530103260;102530;103260
102530103290;102530;103290
102530147110;102530;147110
102530147120;102530;147120
102530147160;102530;147160
102530147210;102530;147210
102530147220;102530;147220
102530147230;102530;147230
102530147250;102530;147250
102540102120;102540;102120
102540102130;102540;102130
102540102140;102540;102140
102540102150;102540;102150
102540102170;102540;102170
102540102180;102540;102180
102540102210;102540;102210
102540102220;102540;102220
102540102230;102540;102230
102540102320;102540;102320
102540102340;102540;102340
102540102350;102540;102350
102540102410;102540;102410
102540102420;102540;102420
102540102430;102540;102430
102540102440;102540;102440
102540102450;102540;102450
102540102510;102540;102510
102540102520;102540;102520
102540102530;102540;102530
102540102540;102540;102540
102540102550;102540;102550
102540102560;102540;102560
102540102620;102540;102620
102540102630;102540;102630
102540102710;102540;102710
102540102720;102540;102720
102540102750;102540;102750
102540102810;102540;102810
102540102820;102540;102820
102540103130;102540;103130
102540103140;102540;103140
102540103150;102540;103150
102540103160;102540;103160
102540103170;102540;103170
102540103190;102540;103190
102540103210;102540;103210
102540103240;102540;103240
102540147110;102540;147110
102540147130;102540;147130
102540147150;102540;147150
102540147160;102540;147160
102540147230;102540;147230
102550102120;102550;102120
102550102140;102550;102140
102550102170;102550;102170
102550102320;102550;102320
102550102340;102550;102340
102550102440;102550;102440
102550102450;102550;102450
102550102530;102550;102530
102550102540;102550;102540
102550102550;102550;102550
102550102560;102550;102560
102550102610;102550;102610
102550102620;102550;102620
102550102630;102550;102630
102550102670;102550;102670
102550102720;102550;102720
102550102760;102550;102760
102550102830;102550;102830
102550102850;102550;102850
102550147120;102550;147120
102550147130;102550;147130
102550147160;102550;147160
102550147210;102550;147210
102550147220;102550;147220
102550147250;102550;147250
102560102130;102560;102130
102560102140;102560;102140
102560102170;102560;102170
102560102180;102560;102180
102560102210;102560;102210
102560102220;102560;102220
102560102330;102560;102330
102560102340;102560;102340
102560102420;102560;102420
102560102430;102560;102430
102560102440;102560;102440
102560102450;102560;102450
102560102530;102560;102530
102560102540;102560;102540
102560102550;102560;102550
102560102560;102560;102560
102560102610;102560;102610
102560102620;102560;102620
102560102630;102560;102630
102560102650;102560;102650
102560102670;102560;102670
102560103180;102560;103180
102560103250;102560;103250
102560147110;102560;147110
102560147160;102560;147160
102560147220;102560;147220
102610102130;102610;102130
102610102170;102610;102170
102610102220;102610;102220
102610102420;102610;102420
102610102500;102610;102500
102610102520;102610;102520
102610102530;102610;102530
102610102550;102610;102550
102610102560;102610;102560
102610102610;102610;102610
102610102620;102610;102620
102610102630;102610;102630
102610102640;102610;102640
102610102670;102610;102670
102610102710;102610;102710
102610102720;102610;102720
102610102810;102610;102810
102610102840;102610;102840
102610102860;102610;102860
102610103140;102610;103140
102610103170;102610;103170
102610103180;102610;103180
102610103210;102610;103210
102610147110;102610;147110
102610147160;102610;147160
102610147220;102610;147220
102610147230;102610;147230
102610147250;102610;147250
102620102140;102620;102140
102620102160;102620;102160
102620102220;102620;102220
102620102420;102620;102420
102620102430;102620;102430
102620102450;102620;102450
102620102530;102620;102530
102620102540;102620;102540
102620102550;102620;102550
102620102560;102620;102560
102620102610;102620;102610
102620102620;102620;102620
102620102630;102620;102630
102620102670;102620;102670
102620102820;102620;102820
102620103140;102620;103140
102620103190;102620;103190
102620147110;102620;147110
102620147150;102620;147150
102620147250;102620;147250
102630102110;102630;102110
102630102130;102630;102130
102630102140;102630;102140
102630102150;102630;102150
102630102170;102630;102170
102630102180;102630;102180
102630102210;102630;102210
102630102220;102630;102220
102630102330;102630;102330
102630102340;102630;102340
102630102350;102630;102350
102630102410;102630;102410
102630102420;102630;102420
102630102430;102630;102430
102630102440;102630;102440
102630102450;102630;102450
102630102530;102630;102530
102630102540;102630;102540
102630102550;102630;102550
102630102560;102630;102560
102630102610;102630;102610
102630102620;102630;102620
102630102630;102630;102630
102630102640;102630;102640
102630102650;102630;102650
102630102670;102630;102670
102630102710;102630;102710
102630102740;102630;102740
102630102760;102630;102760
102630102770;102630;102770
102630103130;102630;103130
102630103190;102630;103190
102630147110;102630;147110
102630147120;102630;147120
102630147140;102630;147140
102630147150;102630;147150
102630147160;102630;147160
102630147220;102630;147220
102630147230;102630;147230
102630147240;102630;147240
102630147250;102630;147250
102640102120;102640;102120
102640102140;102640;102140
102640102160;102640;102160
102640102220;102640;102220
102640102340;102640;102340
102640102420;102640;102420
102640102610;102640;102610
102640102620;102640;102620
102640102630;102640;102630
102640102640;102640;102640
102640102650;102640;102650
102640102670;102640;102670
102640102710;102640;102710
102640102770;102640;102770
102640102820;102640;102820
102640102850;102640;102850
102640103190;102640;103190
102640147120;102640;147120
102640147140;102640;147140
102640147160;102640;147160
102640147220;102640;147220
102640147240;102640;147240
102640147250;102640;147250
102650102180;102650;102180
102650102410;102650;102410
102650102440;102650;102440
